Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
8.0,2007.0,126.0,191.0,200.0,482.0,81.0,40.0,73.0,769.0,760.0,4.0,10.0
8.0,2010.0,101.0,274.0,133.0,480.0,92.0,101.0,87.0,2633.0,606.0,4.0,10.0
6.0,1999.0,101.0,257.0,157.0,479.0,88.0,20.0,90.0,233.0,460.0,1.0,8.0
2.0,2007.0,63.0,283.0,148.0,476.0,80.0,9.0,54.0,46.0,700.0,1.0,3.0
6.0,2000.0,11.0,236.0,210.0,473.0,62.0,14.0,77.0,92.0,577.0,5.0,8.0
14.0,2011.0,136.0,299.0,127.0,473.0,94.0,87.0,87.0,1472.0,597.0,5.0,3.0
6.0,2000.0,5.0,305.0,141.0,468.0,98.0,19.0,77.0,299.0,469.0,5.0,0.0
7.0,2002.0,30.0,194.0,195.0,467.0,82.0,32.0,82.0,78.0,681.0,5.0,4.0
6.0,1996.0,29.0,229.0,197.0,463.0,91.0,13.0,86.0,147.0,159.0,5.0,4.0
12.0,2008.0,80.0,182.0,112.0,462.0,73.0,50.0,76.0,119.0,477.0,1.0,0.0
9.0,2015.0,101.0,206.0,171.0,462.0,86.0,78.0,81.0,1264.0,108.0,5.0,10.0
4.0,2002.0,80.0,260.0,99.0,459.0,96.0,80.0,89.0,968.0,477.0,1.0,9.0
12.0,2007.0,5.0,304.0,111.0,459.0,86.0,36.0,84.0,87.0,783.0,5.0,6.0
0.0,2013.0,80.0,180.0,139.0,459.0,86.0,74.0,84.0,458.0,474.0,1.0,8.0
14.0,2011.0,71.0,208.0,197.0,457.0,91.0,83.0,82.0,617.0,749.0,1.0,4.0
7.0,2004.0,30.0,418.0,26.0,453.0,91.0,30.0,79.0,78.0,226.0,1.0,0.0
14.0,2007.0,5.0,319.0,91.0,453.0,85.0,69.0,79.0,165.0,469.0,5.0,3.0
7.0,2006.0,30.0,363.0,24.0,449.0,84.0,29.0,82.0,39.0,222.0,1.0,8.0
16.0,2015.0,71.0,278.0,127.0,448.0,84.0,101.0,64.0,2438.0,8.0,5.0,6.0
7.0,2002.0,5.0,271.0,151.0,448.0,76.0,25.0,79.0,41.0,742.0,1.0,0.0
9.0,2016.0,5.0,161.0,200.0,446.0,77.0,82.0,34.0,1129.0,345.0,4.0,8.0
7.0,2005.0,101.0,271.0,129.0,445.0,94.0,75.0,89.0,997.0,606.0,4.0,9.0
13.0,2015.0,80.0,154.0,118.0,443.0,81.0,88.0,85.0,1184.0,477.0,2.0,0.0
13.0,2012.0,80.0,252.0,111.0,442.0,77.0,61.0,79.0,471.0,477.0,2.0,0.0
7.0,2001.0,5.0,266.0,129.0,441.0,97.0,34.0,75.0,298.0,469.0,5.0,8.0
7.0,2006.0,61.0,10.0,239.0,438.0,86.0,19.0,89.0,33.0,382.0,1.0,10.0
14.0,2006.0,117.0,282.0,103.0,438.0,94.0,90.0,87.0,1109.0,80.0,4.0,8.0
7.0,2005.0,30.0,202.0,179.0,437.0,82.0,36.0,91.0,137.0,209.0,5.0,0.0
12.0,2010.0,126.0,264.0,133.0,436.0,56.0,37.0,83.0,31.0,762.0,2.0,0.0
8.0,2006.0,101.0,174.0,172.0,434.0,86.0,70.0,81.0,715.0,348.0,4.0,0.0
7.0,2005.0,110.0,220.0,57.0,433.0,87.0,64.0,90.0,766.0,673.0,2.0,8.0
13.0,2013.0,80.0,211.0,115.0,432.0,93.0,83.0,90.0,1607.0,477.0,1.0,3.0
14.0,2008.0,71.0,250.0,124.0,426.0,89.0,95.0,65.0,2423.0,400.0,4.0,0.0
3.0,2001.0,77.0,300.0,111.0,424.0,79.0,10.0,73.0,6.0,422.0,1.0,10.0
8.0,2009.0,29.0,224.0,131.0,423.0,91.0,70.0,89.0,1122.0,597.0,5.0,4.0
7.0,2004.0,61.0,146.0,0.0,423.0,91.0,68.0,93.0,955.0,371.0,4.0,3.0
8.0,2011.0,126.0,141.0,200.0,422.0,80.0,39.0,75.0,613.0,760.0,4.0,0.0
16.0,2015.0,15.0,250.0,132.0,422.0,88.0,39.0,62.0,1749.0,79.0,4.0,0.0
14.0,2013.0,30.0,92.0,289.0,422.0,84.0,41.0,42.0,435.0,209.0,1.0,8.0
10.0,2006.0,101.0,245.0,101.0,421.0,85.0,59.0,87.0,109.0,564.0,2.0,8.0
7.0,2005.0,30.0,78.0,254.0,421.0,80.0,32.0,78.0,47.0,209.0,1.0,0.0
7.0,2003.0,101.0,88.0,229.0,420.0,80.0,32.0,75.0,22.0,617.0,1.0,0.0
8.0,2007.0,101.0,128.0,182.0,419.0,80.0,67.0,71.0,120.0,532.0,1.0,8.0
14.0,2011.0,126.0,225.0,147.0,419.0,80.0,77.0,72.0,564.0,760.0,4.0,0.0
8.0,2009.0,19.0,202.0,104.0,416.0,94.0,61.0,73.0,330.0,129.0,5.0,0.0
7.0,2002.0,30.0,336.0,21.0,413.0,95.0,25.0,77.0,65.0,222.0,1.0,3.0
